Model,Brand,Year,Price
Dakota,Dodge,2009,27960
Element,Honda,2010,23885
Murano,Nissan,2017,29740
Rapide,Aston Martin,2011,207895
SS,Chevrolet,2015,45745
570S Coupe,Mclaren,2018,229000.0
ALPINA B6 Gran Coupe,BMW,2015,117300
MKS,Lincoln,2015,45840
Arnage,Bentley,2008,242990
Insight,Honda,2013,22065
Monte Carlo,Chevrolet,2005,28355
Ram Wagon,Dodge,2001,23360
300 Touring,Chrysler,2021,30440.0
 Rogue Sport , Nissan   ,2023,"23,430"
SQ5,Audi,2017,60800
Santa Fe,Hyundai,2017,36700
RS 5,Audi,2013,77900
JX,Infiniti,2013,41250
S-10,Chevrolet,2002,15943
MKZ,Lincoln,2017,35010
Frontier,Nissan,2017,25750
Malibu Maxx,Chevrolet,2005,21465
Chiron Super Sport 300 Plus,Bugatti,2020,3900000.0
4 Series,BMW,2017,50300
Q3,Audi,2017,34500
XC60,Volvo,2016,41350
Windstar,Ford,2003,23070
Sonata,Hyundai,2015,23175
500X,FIAT,2016,24635
9-5,Saab,2009,39400
CX-9,Mazda,2016,35970
Ram Pickup 1500,Dodge,2008,29055
Tracker,Chevrolet,2002,20835
Rapide,Aston Martin,2012,226850
Continental Flying Spur,Bentley,2012,184200
Tribute Hybrid,Mazda,2008,27995
Phantom Coupe,Rolls-Royce,2014,433550
LR4,Land Rover,2016,50400
Aztek,Pontiac,2003,20870
62,Maybach,2012,470350
Saga Premium,Proton,2020,9660.0
Shelby GT500,Ford,2013,59200
Prius c,Toyota,2014,20030
Dakota,Dodge,2008,22030
Model S Plaid,Tesla,2021,119990.0
500,FIAT,2017,19995
V70,Volvo,2008,32465
Baja,Subaru,2006,23295
Sierra 1500 Hybrid,GMC,2012,46790
Z3,BMW,2000,4755
Dart,Dodge,2015,21645
Insight,Honda,2012,23690
Tribute Hybrid,Mazda,2009,31695
Baja,Subaru,2005,25345
599,Ferrari,2011,320580
Mustang,Ford,2016,36395
GranTurismo,Maserati,2016,150570
Diamante,Mitsubishi,2002,28447
Murcielago,Lamborghini,2010,450000
Forte,Kia,2017,17500
Celica,Toyota,2003,17340
GLI,Volkswagen,2008,24300
Golf SportWagen,Volkswagen,2017,22680
Baja,Subaru,2004,23995
Forenza,Suzuki,2007,15249
Vanquish,Aston Martin,2016,287650
X1,BMW,2017,33100
New Beetle,Volkswagen,2009,25990
570S Spider,Mclaren,2018,247500.0
LS 400,Lexus,2000,5035
Z8,BMW,2003,131500
Accord,Honda,2017,26215
Camry,Toyota,2015,26150
RS 7,Audi,2016,108900
Outback,Subaru,2016,30695
C-Class,Mercedes-Benz,2015,40400
Jimmy,GMC,2001,30225
Beetle,Volkswagen,2017,20475
3 Series Gran Turismo,BMW,2017,49650
CL-Class,Mercedes-Benz,2012,211000
57,Maybach,2010,366000
Explorer Sport Trac,Ford,2008,29235
S-10,Chevrolet,2002,20984
M6,BMW,2015,118200
M56,Infiniti,2011,60950
 Outback     , Subaru   ,2023,"31,945"
Metris,Mercedes-Benz,2016,32500
Sunfire,Pontiac,2005,15205
Maxima,Nissan,2016,36990
Continental Supersports,Bentley,2010,267000
GTC4 Lusso,Ferrari,2020,298000.0
Express,Chevrolet,2014,34525
RX-8,Mazda,2009,31930
 Maverick    , Ford     ,2023,"21,820"
CX-9,Mazda,2015,35035
Montero Sport,Mitsubishi,2003,25637
Cavalier,Chevrolet,2003,14230
X4,BMW,2016,57800
Caliber,Dodge,2012,18730
Touareg,Volkswagen,2016,51450
RL,Acura,2011,51350
9-3,Saab,2009,44455
Sierra 1500 Classic,GMC,2007,28845
ES 300h,Lexus,2015,40580
Corsair Standard,Lincoln,2022,36100.0
Kwid Std,Renault,2019,3810.0
Dakota,Dodge,2009,22560
Trax,Chevrolet,2017,24400
Reno,Suzuki,2007,15199
Vibe,Pontiac,2010,20275
Sierra 1500 Classic,GMC,2007,35520
Wraith,Rolls-Royce,2015,294025
Arnage,Bentley,2007,221990
Ranger,Ford,2009,17680
Envoy XL,GMC,2005,31945
500X Trekking Plus AWD,Fiat,2019,29440.0
Phantom Drophead Coupe,Rolls-Royce,2014,474600
Sonata Hybrid,Hyundai,2017,26000
CL,Acura,2002,28030
Kwid Climber AMT Easy-R,Renault,2019,7000.0
Rondo,Kia,2008,18895
G Convertible,Infiniti,2011,50200
Dart,Dodge,2016,19495
ES 300h,Lexus,2017,41820
Enya Coupe iV 80,Skoda,2022,53410.0
CTS Coupe,Cadillac,2014,39495
Q7,Audi,2015,61900
Legacy,Subaru,2016,21745
Kizashi,Suzuki,2013,25799
Firebird,Pontiac,2002,26965
Vibe,Pontiac,2009,20875
Cavalier,Chevrolet,2004,15905
Rio,Kia,2016,20755
Town Car,Lincoln,2011,47225
Sierra 1500,GMC,2015,43360
Aventador,Lamborghini,2016,443800
 X5          , BMW      ,2022,"62,700"
Verano,Buick,2016,23480
MKC,Lincoln,2016,46455
Aerio,Suzuki,2006,17099
V60,Volvo,2017,48950
Aveo,Chevrolet,2009,15365
Tucson Hybrid,Hyundai,2022,26130.0
Enclave,Buick,2016,43660
Magnum,Dodge,2006,29100
XL7,Suzuki,2007,29549
Optima Hybrid,Kia,2016,32195
500X Urbana Edition AWD,Fiat,2019,26240.0
Freestyle,Ford,2006,28530
Divo,Bugatti,2020,5800000.0
S8,Audi,2017,115900
R-Class,Mercedes-Benz,2012,52690
Aurora,Oldsmobile,2002,35085
Corvette,Chevrolet,2016,88345
4 Series Convertible,BMW,2022,54290.0
S4,Audi,2014,49500
M4,BMW,2015,64200
FX50,Infiniti,2010,59000
Silverado 1500 Classic,Chevrolet,2007,15840
QX60,Infiniti,2022,46850.0
Passat,Volkswagen,2015,26280
Ghibli,Maserati,2016,76050
Triber RXT,Renault,2019,8300.0
ActiveHybrid X6,BMW,2011,88900
Ram Pickup 1500,Dodge,2008,41350
Ghost,Rolls-Royce,2012,250000
Dakota,Dodge,2009,28630
Centodieci,Bugatti,2020,9000000.0
CTS,Cadillac,2017,61195
CR-Z,Honda,2016,22140
Virage,Aston Martin,2012,208295
Venture,Chevrolet,2003,22440
Q40,Infiniti,2015,33950
Enclave Premium,Buick,2021,48400.0
Flying Spur,Bentley,2015,215800
CX-5,Mazda,2016,21795
SL-Class,Mercedes-Benz,2016,108050
Macan,Porsche,2017,67200
Suburban,Chevrolet,2015,54205
Sedona,Kia,2017,41900
 CVT,Renault,2019,14500.0
Santa Fe,Hyundai,2016,32150
3 Pro Performance,Volkswagen,2022,41990.0
